,Results (copy-paste from webpage),,,,
,"Instructions to Annotators: 
If the object is not in the scene, skip this page. 
If the object is a water bottle or black pencil cup, skip this page. 
If there are multiple copies of the same object on this page, label one of them. 
Label the other one on the next page. 
If the shape does not exactly match the scene, or if there is missing depth, try your best guess fit and try to match the object’s center of mass. Please be as accurate as possible. 
Put notes if there are some issues in Note. 
Put an abbreviation of your name in Annotators.","Note
Terminology:
pointcloud (A set of 3d points)
target (The object pointcloud in the shelf bin or the red tote)
template (The object pointcloud that is used to fit the target pointcloud)
ambiguous (When there are multiple ways to fit the template to target)
","Annotators 
L: yifei.leng@gmail.com, 
P: peterkty@gmail.com 
Z: yenhsi.ann.liu@gmail.com
C: kuanpanpan@gmail.com, 
yc: r94228001@gmail.com,
A: andy.zeng.workhorse@gmail.com, 
shuran: songshulove@gmail.com,
E: ed.s.walker@gmail.com",Score board,
http://visiongpu2.cs.princeton.edu:8010/ots0000_creativity_chenille_stems_1.html,"ots0000:creativity_chenille_stems:[1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09747198,-0.99523824,0.00000000,0.00000000,0.99523824,0.09747198,0.00000000,0.04913583,0.06209556,0.09132390,1.00000000]",,L,P,6
http://visiongpu2.cs.princeton.edu:8010/ots0000_kleenex_tissue_box_1.html,"ots0000:kleenex_tissue_box:[-0.12206189,0.06687545,-0.99026692,0.00000000,0.99041975,-0.05670366,-0.12591010,0.00000000,-0.06457207,-0.99614877,-0.05931341,0.00000000,-0.05397752,0.11012781,-0.05392877,1.00000000]",,L,L,118
http://visiongpu2.cs.princeton.edu:8010/ots0001_dasani_water_bottle_1.html,"ots0001:dasani_water_bottle:[0.06341305,0.99798739,0.00000000,0.00000000,-0.99798739,0.06341305,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13165849,0.15000001,0.08606308,1.00000000]",,,Z,666
http://visiongpu2.cs.princeton.edu:8010/ots0001_elmers_washable_no_run_school_glue_1.html,"ots0001:elmers_washable_no_run_school_glue:[0.24648936,0.96914548,0.00000000,0.00000000,-0.96914548,0.24648936,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-0.11673349,0.12086711,0.09113570,1.00000000]",,L,C,839
http://visiongpu2.cs.princeton.edu:8010/ots0001_elmers_washable_no_run_school_glue_2.html,"ots0001:elmers_washable_no_run_school_glue:[0.06159643,0.99759537,0.03177130,0.00000000,0.99503946,-0.05888502,-0.08018151,0.00000000,-0.07811785,0.03655259,-0.99627382,0.00000000,-0.10363482,0.12549685,0.12696925,1.00000000]",,L,yc,59
http://visiongpu2.cs.princeton.edu:8010/ots0001_scotch_bubble_mailer_1.html,"ots0001:scotch_bubble_mailer:[0.99549919,-0.04065376,-0.08560774,0.00000000,-0.02175609,-0.97722739,0.21107663,0.00000000,-0.09223929,-0.20826413,-0.97371352,0.00000000,0.00000000,0.15489082,-0.12797563,1.00000000]",,L,MIT Total ,1688
http://visiongpu2.cs.princeton.edu:8010/ots0001_scotch_bubble_mailer_2.html,"ots0001:scotch_bubble_mailer:[0.99638832,-0.01251115,-0.08398675,0.00000000,0.00908320,-0.96770674,0.25191504,0.00000000,-0.08442629,-0.25176805,-0.96409804,0.00000000,0.00000000,0.17180446,-0.11656222,1.00000000]",,L,,
http://visiongpu2.cs.princeton.edu:8010/ots0001_up_glucose_bottle_1.html,"ots0001:up_glucose_bottle:[-0.03378012,0.99696761,-0.07010295,0.00000000,-0.68364555,0.02811578,0.72927243,0.00000000,0.72903198,0.07256050,0.68062276,0.00000000,0.13329728,0.12391257,-0.03041557,1.00000000]",,L,shuran,62
http://visiongpu2.cs.princeton.edu:8010/ots0001_womens_knit_gloves_1.html,"ots0001:womens_knit_gloves:[0.99845922,0.05394375,-0.01300887,0.00000000,-0.00778592,-0.09592503,-0.99535811,0.00000000,-0.05494122,0.99392581,-0.09535723,0.00000000,-0.05008377,0.06704287,0.00216463,1.00000000]",,L,ln,407
http://visiongpu2.cs.princeton.edu:8010/ots0002_cherokee_easy_tee_shirt_1.html,"ots0002:cherokee_easy_tee_shirt:[-0.15580033,0.11061855,0.98157519,0.00000000,-0.98134243,0.09600618,-0.16658279,0.00000000,-0.11266444,-0.98921502,0.09359688,0.00000000,-0.08204506,0.06863027,0.04834193,1.00000000]",,L,A,10
http://visiongpu2.cs.princeton.edu:8010/ots0002_folgers_classic_roast_coffee_1.html,"ots0002:folgers_classic_roast_coffee:[-0.03187893,-0.99197185,0.12237467,0.00000000,-0.80090064,-0.04789551,-0.59687871,0.00000000,0.59794807,-0.11703780,-0.79294401,0.00000000,0.14553498,0.10629187,-0.07635984,1.00000000]",,L,E,3
